user_country,source,content,date
"Bristol, CT",Twitter for iPhone,"@httrredskin @JoeBiden We’ve made strides in theory, but to say no country has been more willing to deal w flaws ain’t it. 1) the president won’t acknowledge we have a race issue in America. 2) we don’t educate our people on what really happened in US history (ex: We celebrated Columbus Day for why)",2020-10-22T22:52:11+00:00
,Twitter for Android,"White supremacists feel threatened by the increasing population of black &amp; brown people in the US &amp; believe that Trump will take actions to ensure that the pure race(as they see it) remains dominant in America, furthermore he encourages violence against POC calling it defensive",2020-10-22T22:50:58+00:00
,IFTTT,"“What in England was the biology of class, in America became the biology of race and ethnic groups. In America, class was, in large measure, racial and ethnic.”- @WFTate4 #AERABrownLecture",2020-10-22T22:50:29+00:00
,Twitter Web App,"#Debate2020 Topics:   Fighting COVID-19, American Families, Race in America, Climate Change, National Security, Leadership.  Quote tweet and let us know what you would add.",2020-10-22T22:49:16+00:00
"Illinois, USA",Twitter Web App,"TONIGHT'S #Debates2020 TOPICS:   Fighting covid-19, American families, race in America, climate change, national security, and leadership.",2020-10-22T22:47:30+00:00
"Dothan, AL",Twitter for iPhone,"Thursday, October 22, 2020, Presidential debate topics: 1. Fighting COVID-19 2. American Families 3.Race in America 4.Climate Change 5.National Security 6.Leadership https://t.co/0YZkmJbzQr",2020-10-22T22:45:40+00:00
"Arlington, Massachusetts",Twitter Web App,"Race &amp; Childbirth in America Wednesday, October 28 at 7 pm https://t.co/XBzjiFSAu2 For African American women and their babies, birth outcomes have mirrored the racial and economic disparities of our society. Join us for this historical look at race and childbirth in the U.S.",2020-10-22T22:45:08+00:00
"New York, NY",Twitter for iPhone,@DrJWilliams4 @DrSeanKWilson @almcchristian @DrAndreaSBoyles @JohannaFernand on this exciting panel about #Race &amp; #Justice in #America #PoliceViolence #MassIncarceration #Courts ✊🏽 https://t.co/8lUNUxPQDL,2020-10-22T22:44:43+00:00
"Arizona, United States, Erf",Twitter Web App,@nytimes Race in America and Climate Change should provide some fireworks...on Trump's part.    Two things he and Republicans do not care about.    Two things that Republicans don't think is a problem.  Two things that every American NEEDS to be concerned about A.S.A.P.,2020-10-22T22:44:11+00:00
CA,Twitter Web App,"Debate topics tonight are: fighting COVID-19; American families; race in America; climate change; national security; and leadership. What do you want to bet trump answers each one with how great an economy he built? BTW 6pm ET time.  Watch on NBC,ABC, CBS, CNN, C-SPAN, or MSNBC.",2020-10-22T22:41:24+00:00
"Chicago, IL",Sprout Social,"With tonight's #debate topics ranging from #COVID19, race in America, #climatechange, national security, &amp; #leadership, the Council has you covered.  Want to learn more?  Join us at 7:15pm CDT for an expert briefing on public opinion, polling, &amp; data. 🔜  https://t.co/wZEoQBlqYZ https://t.co/FD5zHofC8o",2020-10-22T22:41:01+00:00
Mars,Twitter Web App,"@yoalexrapz Here are all tonight's topics, 3 of them don't belong  ""Fighting COVID-19,"" - We are tired of this topic ""American Families,"" ""Race in America,"" -We are tired of this topic  ""Climate Change,"" -We are tired of this topic  ""National Security""  ""Leadership.""",2020-10-22T22:37:54+00:00
"San Antonio, TX",Twitter Web App,"@jennybizh There are no questions about Hunter Biden. The topics are:  Fighting Covid American Families Race in America Climate Change National Security Leadership  Trump will look/sound more desperate and stupid if/when he inserts ""Hunter Biden"" into any of those topics.",2020-10-22T22:36:01+00:00
USA,Twitter for Android,"@keveen2 @BBCNews ""When you are black in America and you fall in love with a white person, race doesn’t matter when you’re alone together because it’s just you and your love. But the minute you step outside, race matters.""   — Chimamanda Ngozi Adichie https://t.co/oeP0SlYcgr",2020-10-22T22:32:29+00:00
"Washington, DC",Twitter Web App,"“What in England was the biology of class, in America became the biology of race and ethnic groups. In America, class was, in large measure, racial and ethnic.”- @WFTate4 #AERABrownLecture",2020-10-22T22:30:13+00:00
,Twitter Web App,@lumumba57 @justsam_7 @TheNBACentral Yea everything in America is about color because people like you make it that way. Why is it that a person makes a comment and someone with your race baiting mindset comes along and people wonder why a simple conversation or topic turns into an argument about race,2020-10-22T22:28:39+00:00
