user_country,source,content,date
"Nassau, Bahamas",Twitter for Android,"Ginger Zee may look like a parody of herself right now, but I love her breakdown of climate change.",2020-10-22T23:56:28+00:00
,Twitter for iPhone,Fuck me ABC News is explaining climate change to the American people like they are a bunch of grade 2 kids 😭😭😭,2020-10-22T23:56:23+00:00
"Taipei, Taiwan",Twitter for iPhone,"“And our approach to China will focus on boosting American competitiveness, revitalizing our strengths at home, and renewing our alliances and leadership abroad. We'll work to collaborate with China when it's in our interest, including on public health and climate change.”",2020-10-22T23:56:11+00:00
Southeast Michigan,Sprout Social,"Bacteria is a bellwether for climate change and they’re multiplying and moving into new places, sickening people who swim, fish and work in coastal waters. #climatechangeshealth. @kresgenviro https://t.co/iMw7XYmd6d",2020-10-22T23:56:00+00:00
Philippines ,Twitter for iPhone,"@gmanewsbreaking @gmanews @_jamesJA Caused by lack of proper urban development, lack of discipline in trash and garbage disposal, drainage system get plug up, and climate change",2020-10-22T23:55:58+00:00
Hollis NH,Twitter Web App,"More bad questions from @WMUR: COVID, Gun Grabbing, Fairy Tale about Climate Change, Work Together (impeachment for nothing), what about fiscal discipline? &lt;crickets&gt;  #NHPolitics #NH #NH02 #NHPolitics https://t.co/CWZP0VXJ6r",2020-10-22T23:55:56+00:00
she/her || 15  || sisters 💜,Twitter for iPhone,MY TRUMPIE GRANDMA JUST TRIED TO EXPLAIN TO ME THAT CLIMATE CHANGE ISNT REAL AND SCIENTISTS LIE ABOUT FACTS ALL THE TIME I CANT IMMA ZAYN OUT OF THIS FAMILY,2020-10-22T23:55:48+00:00
,Twitter Web App,@catturd2 4 Seasons ... Climate changes.,2020-10-22T23:55:43+00:00
"Fort Collins, CO",Twitter Web App,Record-setting conditions creating unprecedented destruction. This is the signature of climate change https://t.co/Ru0WhXYQa3,2020-10-22T23:55:41+00:00
Israel,IFTTT,Israel and Germany are joining forces to fight climate change! 🇮🇱🌳🇩🇪 https://t.co/yXtaVpvV4h,2020-10-22T23:55:25+00:00
 ,Twitter Web App,@jimac111 @gavindjharper No doubt the children of the Coal Not Dole generation will be joining Extinction Rebellion campaigning against the use of coal and other fossil fuels due to climate change!,2020-10-22T23:55:19+00:00
"Osaka, Japan",Buffer,@exxonmobil has misled the public for years with disinformation campaigns to sow doubt into the science behind #ClimateChange. The age of fossil fuels is over. Time to fix the damage we've done. #ClimateEmergency #ClimateCrisis   https://t.co/oMMc086GGZ,2020-10-22T23:55:01+00:00
"Seattle, WA",Sprout Social,The debate on climate change has been an embarrassment. Here's how Kristen Welker can up the ante. https://t.co/py3SsWgocK,2020-10-22T23:55:00+00:00
"Calgary, Mtn Standard Time",Twitter for Android,Biden voted against one Iraq war and then for another one... Negotiated for passage of Russian nuclear arms treaties three decades apart... And was pushing climate change legislation back when Trump was still with Ivana. https://t.co/Q89KzDn54D,2020-10-22T23:54:57+00:00
,Twitter for Android,Angela Keller-Herzog asks about budget allotments addressing climate change and transit's role in that.,2020-10-22T23:54:54+00:00
New Hampshire,Twitter Web App,"This isn't hard: climate change is real, and we must take action.  While Steve Negron supports a president who's a climate change denier, @AnnMcLaneKuster understands the importance of this crisis — it's why she was endorsed by @SierraClub and @LCVoters. #NHPolitics #WMURDebate https://t.co/QwGyOc43VA",2020-10-22T23:54:47+00:00
"Canberra, Australia",Twitter for Android,"@PatrickPentony Because the Canberra Liberals are hostile to acknowledging climate change is happening and humans are responsible, anyone who says so is pushed out. This explains at least some of the swing away. Zed, Manuatu etc are all aggressive fossil fuel lobbyists.",2020-10-22T23:54:45+00:00
"Concord, NH",Twitter Web App,"Protecting our planet and combating the effects of climate change does not have to come at the cost of the economy—we can build the clean energy economy of the future, together. That's what I'm fighting for every day in Congress. #WMURDebate #NHpolitics https://t.co/mG1aSxLfO4",2020-10-22T23:54:43+00:00
,Twitter for iPhone,Please watch the new documentary with David Attenborough on Netflix! And listen to Nahko and medicine for the people! #climatechange,2020-10-22T23:54:38+00:00
"Washington, D.C.",Twitter for iPhone,"The 6 topics for the final face-off between #Trump and #Biden: fighting #Covid19, American families, #race in America, #climatechange, national security, and #leadership. #Debate2020",2020-10-22T23:54:36+00:00
United Arab Emirates ,Twitter for Android,So Congo people end up burning wood and charcoal to produce energy to cook and everything which emits a lot of greenhouse gases.   This is how poverty results in accelerating climate change.,2020-10-22T23:54:35+00:00
"Newark, 3rd oldest big US city",Twitter for Android,@realDonaldTrump has an excellent foreign policy. His economic recovery since covid is spectacular.  Unemployment is down to 7%.  Neither topic will be covered at #DebateTonight . *Family *Coronavirus *Race *Climate Change *National Security *Leadership  Another #ProBidenSetup!,2020-10-22T23:54:29+00:00
The Greatest Nation on Earth,Twitter for iPad,@amandacarpenter Democrats 2016: Global Warming! Racism! Russia! Democrats 2020: Climate Change! Racism! BLM! Russia! Masks!  Everyone else: #BidenCrimeFamiily #EpsteinDidntKillHimself #Anitifa #ViolentLeft #BLMRiots #AllLivesMatter #BackTheBlue #KAG 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸,2020-10-22T23:54:28+00:00
"Saint-Valery, France",Twitter Web App,@JoanieLemercier And climate change intensified by wildfires.,2020-10-22T23:54:24+00:00
California,Twitter for iPhone,@ColoradoSun Sending my prayers to Colorado 🙏  As a Californian I’ve been through these wildfires &amp; they’re terrible!   Also We’ve seen the worst fires ever in 🇺🇸 but Trump blamed raking leaves instead of science &amp; #ClimateChange   Let’s all #VoteHimOut so we can save America. #VoteBlue,2020-10-22T23:54:20+00:00
,Twitter Web App,"2019 was second-warmest year on record https://t.co/BiFrCoAaUX , and 2020 should have been a ""normal year"" - - it isn't.  Don't take the bait and run town a rabbit hole - climate change isn't about data regarding a SINGLE impact, rather all the data and all the impacts.",2020-10-22T23:54:00+00:00
,Twitter Web App,"still pretty worried about this ""climate change"" thing. has somebody fixed that yet?",2020-10-22T23:54:00+00:00
"Melbourne, Victoria",Twitter for iPhone,@MicheleS_Aus @JonesHowdareyou @deniseshrivell Except for James Murdoch he left the organisation over Climate Change intentional misinformation and denial in protest.  Well done! James Murdoch!👏🇦🇺,2020-10-22T23:53:49+00:00
Japan,Twitter for iPhone,"Why can’t the big businesses here use their knowledge, technique and money to do something more about the environment and #ClimateChange ?",2020-10-22T23:53:47+00:00
"Victoria, Australia",Twitter Web App,People think climate change is an issue except its not its just  the way the planet works there is no problem there and people that believe Humans can change the planet are just being completely stupid,2020-10-22T23:53:44+00:00
"Greatest Country, USA",Twitter for iPad,"the moderator of tonight’s presidential debate, Kristen Welker, has instead provided a list of “off-topic topics.” They include COVID, American families, race relations, climate change, national security, and the most ephemeral topic of all: “leadership.” https://t.co/rgm3FAlH52",2020-10-22T23:53:35+00:00
Trinidad and Tobago,Twitter for Android,"@TheOliverStone Climate change is real, it's globalist proponents are selective with their ""C02 science"" and  their regulatory framework,  Trump's stance on immigration is influenced by the repatriation of overseas mercenaries to the US by security state provocateurs. Re military buildup dsagree",2020-10-22T23:53:32+00:00
London,Twitter for iPhone,"@JustinWolfers Yes, but also something we should teach quite young children; and increasingly do, in the context of protecting the environment and climate change.  Many of us learnt as kids about externalities - tho not the name - eg when taught why not to litter, or shout in restaurants.",2020-10-22T23:53:27+00:00
Washington State,Twitter for iPhone,"Washington was the leader in climate change reform. We are losing ground, and jobs to other states by falling behind! https://t.co/Bh7gBnLt4d",2020-10-22T23:53:25+00:00
USA,Hootsuite Inc.,"In October, we worked with the office of  @repbenraylujan to schedule a meeting to share information about our work, and our perspectives about what we’re seeing as it relates to climate change.  Catch up on our visit with Congressman Luján  &gt;&gt;&gt; https://t.co/S9ea0FGdQ1",2020-10-22T23:53:20+00:00
"Washington, USA",Twitter for iPhone,"@Nitrofish904 @Liberatedin44 Seriously though, is it worse than Seattle? We literally have the worst governor in the country according to the CATO institute. A RINO has got to be better than idiot climate change, closet socialist. Right?",2020-10-22T23:53:17+00:00
United States,Twitter for iPhone,@suzanne73863722 @HannahCox7 3/ 66-70% of Americans believe in stricter gun control laws. I doubt this court will reflect that opinion.  77% say abortion rights should stay legal and safe. 67% say the government is not doing enough to protect us from climate change.,2020-10-22T23:53:12+00:00
,Twitter Web App,@jpgolf416 @aalkaltham @sarahcpr The magnetic north pole has shifted. The glaciers have NOT shifted from their position relative to the earth's axis. I.e. no climate change from a shifted axis.,2020-10-22T23:53:12+00:00
"New York, NY",Buffer,"At 7PM PT today, from our Editors’ List for #LosAngeles: 'Climate Change and the Next Ten Years' by @InnovatPasadena - Presented by @AaronFyke  | https://t.co/mHO6znczPx - #climatechange https://t.co/MHHdv7FWkK",2020-10-22T23:53:02+00:00
"East Coast, USA",Twitter Web App,"What topics has moderator Kristen Welker chosen to cover?   Fighting the coronavirus, American families, race in America, climate change, national security and leadership. https://t.co/9WrotiKBtC",2020-10-22T23:53:01+00:00
United States,Twitter for iPhone,@callykarishokka Climate change probably,2020-10-22T23:52:58+00:00
Republic of the Philippines,Twitter for Android,Okieee good luck to us all world. This one appointment will ruin climate change policy for a generation. Good job conservatives for ruining everything 👏 https://t.co/ZjRbOQLq2R,2020-10-22T23:52:53+00:00
Melbourne,Twitter Web App,"The second question at the Worley AGM was from Rachel Deans, a climate change campaigner with Market Forces (associated with Friends of the Earth). It was a long question and the billionaire chair got a PR person to read it out https://t.co/6ebOrlQzqQ",2020-10-22T23:52:51+00:00
Earth!,Twitter for iPhone,But climate change is a hoax...yeah...#VoteEarly #VoteJoeBiden https://t.co/VlBDOWSHW3,2020-10-22T23:52:37+00:00
,Twitter for iPhone,"I know I’ve said this ten hundred times but, this is the same as saying you don’t want to pass any legislation to improve people’s lives or stop climate change, and that you’re content to see the courts strike down voting rights, marriage equality, reproductive rights, etc https://t.co/APeKzh5au9",2020-10-22T23:52:31+00:00
"Minneapolis, MN",Twitter for iPhone,@MattWalshBlog And.....”So you’re saying that climate change isn’t real?” “So you want the forests to keep burning in California?”,2020-10-22T23:52:30+00:00
,Twitter Web App,"@senatemajldr Barrett: ""I'm certainly not a scientist. I have read things about climate change. I would not say I have firm views on it.""  She also claimed she doesn't know Trumps position on climate change.  We don’t need a climate denier and liar on the Supreme Court.",2020-10-22T23:52:25+00:00
