user_country,source,content,date
TOOK ANOTHER 100 REAL # +773👇,Twitter for Android,Uh great except it wasn't Trump interrupting. I'm pretty sure the number is 47Xs by Joe 76Xs by Wallace. Not exactly professional on Wallace's part. Biden told Trump to shut up. Called him a clown. I don't remember the other 45Xs or insults. Not good temperament for a President https://t.co/hy5zOFRDNc,2020-10-22T23:51:21+00:00
hogwarts,Twitter Web App,"“She had rooms in her mind that she would not look into.” – Wallace Stegner, Angle of Repose",2020-10-22T23:51:16+00:00
,Twitter for iPhone,@Kenny_Wallace @TalladegaSuperS Just make sure to stay above the yellow line if you try to pass 😁,2020-10-22T23:51:14+00:00
"USA via Whynot, MS",Twitter Web App,@Kenny_Wallace I can smell the paint on that trailer!,2020-10-22T23:51:13+00:00
,Twitter for iPad,You said it was all done last year. You then said all done a couple months ago. You said it was done with Chris Wallace interview. Now it’s not done. #ByeDon you interrupted Ms. Stahl @60Minutes   You were being #Nasty Trump. https://t.co/liY7FyNYqJ,2020-10-22T23:51:03+00:00
,Twitter Web App,"Gotta get off of twitter to watch the terrific trio. Nicole Wallace, Rachel Maddox, &amp; of course Joy Reid! I am bracing myself for a sh*tshow tonight on the debate. I always cringe knowing the world is watching.",2020-10-22T23:51:01+00:00
,Twitter for iPhone,I am back home😁.. https://t.co/UyUb2WRru5,2020-10-22T23:50:28+00:00
On top of the action,Twitter for Android,@NorthsideLowry Payton Bryant Erving  McHale Wallace,2020-10-22T23:50:22+00:00
LEEDS,Twitter for Android,@theadelites My Team Martyn 5m Kelly 2m Dacourt 2m Macca 3m  Wallace 2M  Announce trophy now lads.,2020-10-22T23:50:19+00:00
Texas,Twitter for iPad,@caryn_wallace here it is 👇 https://t.co/PUD8pGEbwI,2020-10-22T23:50:06+00:00
"Columbus native, SE Ohio now.",Twitter for iPhone,Nicolle Wallace blasts Trump’s fake ‘manliness’ for refusing to protect his key supporters #SmartNews #COVID19 #BidenHarris2020  https://t.co/p6PfYyMPAT,2020-10-22T23:50:04+00:00
"Williamsburg, VA",Twitter for iPhone,@hankgreen No line- I’ve always voted by mail and finally went to a poll to vote early this year. There were 10+ poll workers and three of us voters that came in at the same time,2020-10-22T23:50:03+00:00
,Twitter for iPhone,@CarverJohnny Ben Wallace,2020-10-22T23:49:56+00:00
Oakland/Ohlone land,Twitter for Android,ezell ozell cletus thurgood earl  overster gus parnell ernest willie percy otis  philbert rufus melvin luther wallace levi emmett chauncey obadiah ezekiel porchie https://t.co/QWt2JfFWRy,2020-10-22T23:49:47+00:00
The Bahamas,Twitter for iPhone,Just floating https://t.co/bjRBp4JKDS,2020-10-22T23:49:42+00:00
"Florida, USA",Twitter for Android,Wallace is corrupt. Maybe if u did your job https://t.co/6Yh8I19kLM,2020-10-22T23:49:35+00:00
"Columbia, MO",Twitter for iPhone,@Kenny_Wallace this should make you smile https://t.co/XBmunTXdEX,2020-10-22T23:49:34+00:00
"Lubbock, Texas",Twitter for iPhone,@GreatKatzby03 @hughhewitt Good point. Question: Do you take Joe Biden at his word regarding this issue?,2020-10-22T23:49:19+00:00
The Bahamas,Twitter for iPhone,Watching unsolved mysteries. I haven’t watch this ever since I was a kid,2020-10-22T23:49:13+00:00
Canada,Twitter for Android,The snare drum sound on Sepultura's Chaos A.D. is so good. One of the few albums Andy Wallace produced as well as mixed.,2020-10-22T23:48:55+00:00
,Twitter Web App,FNC‘s Wallace: If Hunter Story Was True -- ‘We Would Have Seen the Fruits of That Investigation by Now‘ https://t.co/sKwFJXYU3X via @BreitbartNews YOU have NO BUSINESS being involved in any form of journalism 11,2020-10-22T23:48:48+00:00
Cincinnati,Twitter Web App,"@IsendeB Valid point. I am just hoping that Kristin Welker is a tough moderator and enforces the rules without exception. We don't need a repeat of Chris Wallace or Susan Page, tbh.",2020-10-22T23:48:41+00:00
"South East, England",Twitter for iPhone,I cannot believe I had Liv ask me “would you say Hitler is one of the most hated men in the world? Alongside.... Greg Wallace” bro how do you compare the two 😭😭,2020-10-22T23:48:38+00:00
"Nottingham, England",Dynamic Tweets,"Mary M Wallace (@m_m_wallace) is author of ""Provenance (Praetorian Saga Book 1)"" and a member of #RRBC.. https://t.co/foNdyNQlgP",2020-10-22T23:48:25+00:00
,Twitter for Android,"@cjtruth My goodness, how much money did Chris Wallace take?",2020-10-22T23:48:22+00:00
"Coldstream, BC",Twitter for iPad,"@ConsumerSOS He has a point. After all, 60 Minutes has been asking softball questions for decades now. In fact, when a CEO’s secretary says “Sir, Mike Wallace and a camera crew from 60 Minutes are outside and want to talk to you”. - well, let’s break out the tea and cookies, shall we?",2020-10-22T23:48:04+00:00
"Florida, USA",Twitter Web App,"Stirewalt an anti-Trumper from day one. Wallace, Roberts &amp; Stirewalt -Not Fox' best. https://t.co/o81Vefim8S",2020-10-22T23:48:02+00:00
"Oklahoma City, OK",Twitter for iPhone,@Nikieva_Wallace @_PhilipBrown This is powerful,2020-10-22T23:47:40+00:00
,Twitter Web App,"@JBryanEure @BernardKerik @BretBaier @FoxNews Wallace is hoping people are stupid enough to believe graft payoffs are included in tax returns.  How gullible, naive and stupid are Biden voters to think this?",2020-10-22T23:47:22+00:00
,Twitter for iPhone,@MJBiercuk @teedubya Chris Wallace is a leftie.,2020-10-22T23:47:15+00:00
Department of Ratio Research,Twitter Web App,"@Rschooley Judging from the comments I saw when Shepard Smith or Chris Wallace dabbled in reality, they hate it when folks wander off the alternative-reality reservation.",2020-10-22T23:47:13+00:00
,Twitter for iPhone,@kristyleigh40 @BarryTh92560556 @carson101011 @Kenny_Wallace i wonder why,2020-10-22T23:47:11+00:00
,SmartNews | スマートニュース,Nicolle Wallace blasts Trump’s fake ‘manliness’ for refusing to protect his key supporters https://t.co/9gkdJItIUy #SmartNews,2020-10-22T23:47:08+00:00
,Twitter for Android,After Chris Wallace Fox is lucky to have me as a viewer I'm the only one watching their station FUCK THE NFL. https://t.co/7BkeVNB0Kq,2020-10-22T23:47:07+00:00
15 | pan,Twitter for iPhone,omg why didnt harry kiss like wallace 🙄👎,2020-10-22T23:47:07+00:00
,Twitter Web App,@Fatbob2013 Especially when The Democratic response to #BidenCrimeFamiily is to quote Chris Wallace from this morning,2020-10-22T23:47:00+00:00
"Lubbock, Texas",Twitter for iPhone,@hughhewitt @MZHemingway Should Trump debate Harris?,2020-10-22T23:46:52+00:00
,Twitter for iPhone,@TheNetsJunkie @TheHoopCentral Gerald Wallace for Lillard,2020-10-22T23:46:47+00:00
"Poughkeepsie, NY",Twitter for iPhone,"Everyday I say to myself, “I need to figure something out”. Mind you I’m doing a lot already. Forever hungry. 💯",2020-10-22T23:46:42+00:00
"The sewer, with your mother",Twitter Web App,"I wonder if Wallace is a nonce... he looks, talks and behaves like one https://t.co/ZiyFxvFTnb",2020-10-22T23:46:29+00:00
"Charmingville, USA ",Twitter for iPhone,"@FoxNews I love Martha McCallum and @IngrahamAngle is brilliant, a hoot and a blast - but Bret Baier is the absolute definition of a milquetoast. And Chris Wallace, it need not be said, is a total Ass.   The best channel on TV? It’s @FoxBusiness",2020-10-22T23:46:23+00:00
,Twitter for iPhone,@CarverJohnny Okay. I’ll only allow myself to guess one more so I don’t ruin the fun.  Ben Wallace? 🤔,2020-10-22T23:46:13+00:00
,fo.golf,Matt Wallace Hits Power Lines with His Shot From the Fairway - Golf Rules   https://t.co/eExg34MpjX https://t.co/JyVtxaiOZx,2020-10-22T23:46:01+00:00
Texas,Twitter Web App,"@FoxNewsSunday Re: Chris Wallace  Yeh.  Kinda what we were thinking over the 3 years of Russiagate.  Patience, Chris.  BOOMS incoming. https://t.co/qH9fet25YE",2020-10-22T23:45:58+00:00
North ,Twitter for iPhone,"@arlenparsa THIS PAB is leader of the free world? Can’t handle Chris Wallace, Savanna Guthrie &amp; Leslie Stahl.  LOOOOL! 🤡 No wonder he bows down to Putin, KJU, and CHY-NA! Sad.",2020-10-22T23:45:53+00:00
Bahamas,Twitter for iPhone,@Nikieva_Wallace U brave. I could never,2020-10-22T23:45:49+00:00
Da Sota/Dallas/N.Y.,SmartNews | スマートニュース,Chris Wallace Warns Trump: Be ‘Careful’ Attacking Hunter at Debate or Biden Will Bring Up Your Secret Chinese Bank Account https://t.co/iaLH9G1uiH #SmartNews,2020-10-22T23:45:38+00:00
"Dallas, TX",Buffer,"Join BGG, designer Martin Wallace and @KOSMOS_Verlag for a detailed look at something new from #SPIELdigital 2020 — the board game adaptation of Anno 1800!  Watch and join in to discover new #boardgames: https://t.co/JtlqghnJ06 —WEM https://t.co/bWElEGWvPU",2020-10-22T23:45:05+00:00
Trinidad and Tobago,Hootsuite Inc.,"More rain clouds are coming over the horizon, says TTT Meteorologist Ean Wallace.  https://t.co/6x1tMEAFRa",2020-10-22T23:45:02+00:00
Floating in the Bibliosphere,Hootsuite Inc.,Alluring medical examiner Alex Wallace has been trying to fill the empty void which has existed in her life for years. https://t.co/HVMp14dtZX #romance #mystery #suspense @BeermanKay,2020-10-22T23:45:02+00:00
,Twitter Web App,Wallace needs to GO!😠 https://t.co/WYPT44meJH,2020-10-22T23:44:52+00:00
,Twitter Web App,"@JBryanEure @BernardKerik @BretBaier @FoxNews Chris Wallace has no clue.  Thank you for your service, Chris.  Time to retire.",2020-10-22T23:44:44+00:00
Malaysia,Twitter for iPhone,"“(Sarawakian) Ali was with Wallace for almost the entire voyage, and collected many if not most of the 8,050 birds Wallace sent back to Europe (and prepared the skins of many more he didn’t shoot himself)” #decolonisation #DiversityandInclusion #naturalhistorymuseums #wallace",2020-10-22T23:44:26+00:00
United States,Twitter for iPhone,@atensnut @kwelkernbc isn’t an old fart and he will be debating her as well.  She will try to OutBitch the previous Interviewers @SavannahGuthrie @LesleyRStahl and the QueenBitch @FoxNewsSunday Chris Wallace.  👇👇👇👇👇 https://t.co/XmWIFfTitf,2020-10-22T23:44:22+00:00
"Florida, USA",Twitter Web App,Far better coverage than at Fox News. Wallace &amp; Roberts still lying with every breath. Decision makers there flat out corrupt. https://t.co/KjoEVYAOvX,2020-10-22T23:44:20+00:00
,Twitter Web App,@DonaldJTrumpJr Chris Wallace is still skeptical,2020-10-22T23:44:08+00:00
,Twitter for Android,Chris Wallace is still carrying that water Bucket for Creepy Joe Biden https://t.co/FwQ8ma90rA,2020-10-22T23:43:57+00:00
,Twitter for iPhone,@kavitapmd I saw you on msnbc with Mrs.Wallace.   Omg I love your necklace. VOTE   !  You are a national treasure Dr. Patel. Thanks you for all you do.,2020-10-22T23:43:46+00:00
,Twitter Web App,"@MSNBC @TheLastWord @kwelkernbc Best part of this debate? Joy Reid, Rachel Maddow and Nicole Wallace!",2020-10-22T23:43:30+00:00
The Bahamas,Twitter for iPhone,@_PhilipBrown @crawboii Life tough  😭,2020-10-22T23:43:18+00:00
Bakersfield ca,Twitter for iPhone,Chris Wallace is a Piece of Shit https://t.co/UixmruOttW,2020-10-22T23:42:47+00:00
,Twitter for Android,"""The rule change was made after the first debate devolved into chaos, with Trump frequently interrupting and heckling Biden and the moderator, Chris Wallace of Fox News"". Thank you @CNN for calling out his poor behavior. #Debates2020 #DebateTonight https://t.co/0NYyDlCBrh",2020-10-22T23:42:45+00:00
,Twitter for iPhone,@netsstan @TheHoopCentral The Gerald Wallace trade for Dame is brutal as well,2020-10-22T23:42:44+00:00
